campaign_id,brand_id,product_id,campaign_name,campaign_type,campaign_goal,start_date,end_date,budget
1,1,,Visionary content-based model,Sponsored Post,Conversions,4/2/2024,5/28/2024,21758.74
2,1,3,Synergistic system-worthy contingency,Brand Ambassador,Awareness,9/20/2023,10/12/2023,72320.95
3,1,,Reactive 24/7 service-desk,Product Review,Reach,9/1/2023,9/21/2023,96941.08
4,2,7,Cloned 24/7 installation,Brand Ambassador,Lead Generation,1/7/2023,3/25/2023,38159.41
5,2,,Progressive bi-directional software,Giveaway,Engagement,3/17/2023,5/31/2023,45677.45
6,3,8,Monitored directional success,Brand Ambassador,Conversions,12/13/2023,2/2/2024,95214.55
7,4,10,Function-based content-based alliance,Product Review,Engagement,8/9/2023,10/5/2023,73466.52
8,5,14,Secured background approach,Affiliate,Lead Generation,1/19/2023,2/13/2023,89429.39
9,5,14,Switchable didactic policy,Giveaway,Lead Generation,4/6/2024,4/23/2024,89085.57
10,5,13,Decentralized tertiary capability,Sponsored Post,Conversions,5/10/2024,6/13/2024,21349.5
11,6,17,Robust clear-thinking implementation,Brand Ambassador,Conversions,3/9/2023,5/14/2023,24517.28
12,7,,Virtual secondary open system,Giveaway,Awareness,5/24/2024,7/27/2024,36722.06
13,8,21,Customizable tangible contingency,Affiliate,Reach,5/24/2023,6/18/2023,20767.81
14,8,20,Implemented maximized protocol,Giveaway,Conversions,7/16/2023,8/2/2023,97728.71
15,9,,Sharable logistical focus group,Product Review,Reach,2/28/2023,3/28/2023,49420.58
16,9,23,Team-oriented static throughput,Affiliate,Reach,11/28/2023,1/14/2024,19303.24
17,10,24,Function-based cohesive time-frame,Product Review,Awareness,9/9/2023,11/9/2023,27066.3
18,10,25,Grass-roots zero-defect approach,Giveaway,Conversions,2/27/2023,5/11/2023,56860.41
19,11,26,Networked full-range approach,Brand Ambassador,Lead Generation,10/25/2023,11/20/2023,41984.68
20,12,,Fundamental context-sensitive intranet,Sponsored Post,Reach,7/20/2023,9/1/2023,82022.12
21,12,,Pre-emptive dedicated pricing structure,Product Review,Lead Generation,2/23/2023,5/1/2023,88283.73
22,12,31,Enhanced secondary matrix,Sponsored Post,Reach,11/1/2023,1/14/2024,90374.94
23,13,33,Digitized needs-based throughput,Sponsored Post,Reach,3/26/2023,4/13/2023,18115.02
24,13,33,Extended reciprocal project,Giveaway,Engagement,12/1/2023,1/5/2024,5224.91
25,13,,Organic transitional firmware,Giveaway,Engagement,3/24/2023,4/17/2023,83576.7
26,14,34,Automated asynchronous archive,Sponsored Post,Reach,3/22/2023,5/15/2023,56080.06
27,14,36,Upgradable eco-centric time-frame,Brand Ambassador,Lead Generation,3/19/2024,6/11/2024,46357.56
28,15,,Ameliorated modular collaboration,Sponsored Post,Reach,12/13/2023,3/11/2024,15814.59
29,16,40,Sharable 24hour alliance,Sponsored Post,Lead Generation,5/22/2024,8/19/2024,78174.92
30,16,,Networked encompassing collaboration,Product Review,Conversions,5/31/2024,7/20/2024,38921.3
31,16,,Object-based object-oriented ability,Sponsored Post,Engagement,9/14/2023,11/29/2023,28266
32,17,41,Triple-buffered zero administration matrix,Product Review,Conversions,2/5/2024,4/10/2024,69360.86
33,18,46,Optional impactful superstructure,Brand Ambassador,Awareness,1/7/2024,3/21/2024,34448.74
34,19,49,Quality-focused directional ability,Product Review,Awareness,2/24/2023,4/18/2023,97277.17
35,19,48,Team-oriented zero-defect matrices,Brand Ambassador,Reach,10/26/2023,12/8/2023,77629.06
36,20,,Re-contextualized national help-desk,Affiliate,Awareness,4/5/2023,5/23/2023,19605.63
37,20,,Synergized exuding initiative,Product Review,Lead Generation,9/16/2023,10/27/2023,86851.71
38,21,55,Self-enabling secondary array,Sponsored Post,Conversions,2/12/2023,5/2/2023,71247.37
39,22,58,Public-key global artificial intelligence,Giveaway,Engagement,10/11/2023,11/11/2023,87642.88
40,22,58,Virtual zero administration frame,Giveaway,Awareness,12/24/2023,2/1/2024,46188.42
